id;r1;r2;r3;r4;r5;r6;r7;r8;date
1260;8;11;27;33;35;41;2; 4; 14;23;29;35;15/05/13
1259;19;29;30;31;39;41;4;12;14;35;42;45;11/05/13
1258;1;8;14;23;30;32;2;6;14;27;30;31;08/05/13
1257;1;15;21;25;36;42;5;6;7;18;26;36;04/05/13
1256;4;10;23;35;37;41;5;20;28;32;37;41;01/05/13
1255;3;11;14;17;29;34;2;10;14;15;17;44;27/04/13
1254;15;19;24;26;29;30;5;16;18;24;30;38;24/04/13
1253;10;14;30;34;35;39;2;4;6;26;27;45;20/04/13
1252;10;16;18;22;34;39;7;12;24;27;29;35;17/04/13
1251;13;15;23;31;40;41;13;19;29;33;37;39;13/04/13
1250;2;4;10;12;14;42;9;19;21;22;36;44;10/04/13
1249;6;11;13;29;40;44;6;21;29;35;43;44;06/04/13
1248;2;9;19;20;38;39;11;24;25;29;44;45;03/04/13
1247;3;17;28;29;34;43;9;14;33;34;35;44;30/03/13
1246;8;21;31;36;40;42;2;9;28;31;33;45;27/03/13
1245;7;17;19;24;27;43;1;4;14;21;25;45;23/03/13	
1244;17;31;32;36;41;45;1;15;21;22;33;41;20/03/13
1243;4;6;8;14;31;43;3;9;10;16;23;30;16/03/13
1242;5;11;16;18;35;39;18;35;38;39;44;45;13/03/13
1241;10;16;18;24;32;44;5;7;15;17;35;45;09/03/13
1240;8;11;15;34;43;44;5;10;21;26;27;41;06/03/13
1239;1;2;5;13;34;36;1;14;17;18;27;44;02/03/13
1238;1;16;24;34;39;40;12;15;23;31;33;35;27/02/13
1237;5;6;9;11;16;43;2;7;14;29;36;37;23/02/13
1236;2;6;10;13;30;39;1;9;19;23;26;34;20/02/13
1235;1;9;10;20;26;43;3;16;27;29;36;38;16/02/13
1234;4;5;8;19;24;41;3;4;11;12;29;45;13/02/13
1233;21;28;31;39;41;45;10;13;18;27;39;44;09/02/13
1232;8;16;24;30;34;43;3;6;7;14;17;22;06/02/13
1231;4;7;16;22;30;33;2;11;12;18;19;41;02/02/13
1230;18;20;31;40;41;45;11;15;21;23;27;37;30/01/13
1229;7;9;11;12;15;35;10;24;26;31;38;43;26/01/13
1228;3;8;16;18;31;44;2;4;13;16;32;42;23/01/13
1227;1;6;17;18;34;37;19;21;25;29;33;41;19/01/13
1226;13;21;22;30;31;36;10;11;21;31;38;39;16/01/13
1225;1;12;16;28;30;34;10;26;29;30;39;43;12/01/13
1224;5;9;12;13;22;26;1;13;14;25;29;44;09/01/13
1223;9;11;17;20;33;42;15;19;23;37;39;40;05/01/13
1222;9;10;11;21;27;42;1;6;7;10;15;18;02/01/13
